extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-0.90,0.97,0.65,0.81,0.65,0.95,0.61
-0.80,0.97,0.65,0.81,0.65,0.95,0.61
-0.70,0.97,0.68,0.82,0.67,0.95,0.64
-0.60,0.95,0.70,0.82,0.66,0.95,0.64
-0.50,0.95,0.72,0.83,0.68,0.95,0.66
-0.40,0.95,0.78,0.86,0.73,0.95,0.72
-0.30,0.95,0.80,0.87,0.75,0.95,0.74
-0.20,0.95,0.82,0.88,0.77,0.95,0.77
-0.10,0.89,0.88,0.88,0.77,0.95,0.77
0.00,0.86,0.90,0.88,0.77,0.95,0.77
0.10,0.84,0.93,0.88,0.77,0.95,0.77
0.20,0.84,0.93,0.88,0.77,0.95,0.77
0.30,0.84,0.93,0.88,0.77,0.95,0.77
0.40,0.78,0.93,0.86,0.72,0.95,0.71
0.50,0.73,0.95,0.84,0.70,0.95,0.69
0.60,0.68,0.97,0.83,0.69,0.95,0.66
0.70,0.59,0.97,0.79,0.62,0.95,0.58
0.80,0.59,0.97,0.79,0.62,0.95,0.58
0.90,0.57,0.97,0.78,0.60,0.95,0.55
1.00,0.54,1.00,0.78,0.62,0.95,0.55
1.10,0.46,1.00,0.74,0.55,0.95,0.47
1.20,0.38,1.00,0.70,0.49,0.95,0.39
1.30,0.30,1.00,0.66,0.42,0.95,0.31
1.40,0.24,1.00,0.64,0.38,0.95,0.25
1.50,0.14,1.00,0.58,0.27,0.95,0.14
1.60,0.08,1.00,0.56,0.21,0.95,0.08
1.70,0.03,1.00,0.53,0.12,0.95,0.03
1.80,0.03,1.00,0.53,0.12,0.95,0.03
1.90,0.03,1.00,0.53,0.12,0.95,0.03
2.00,0.03,1.00,0.53,0.12,0.95,0.03
2.10,0.03,1.00,0.53,0.12,0.95,0.03
2.20,0.03,1.00,0.53,0.12,0.95,0.03
2.30,0.00,1.00,0.52,0.00,0.95,0.00
2.40,0.00,1.00,0.52,0.00,0.95,0.00
2.50,0.00,1.00,0.52,0.00,0.95,0.00
2.60,0.00,1.00,0.52,0.00,0.95,0.00
2.70,0.00,1.00,0.52,0.00,0.95,0.00
2.80,0.00,1.00,0.52,0.00,0.95,0.00
2.90,0.00,1.00,0.52,0.00,0.95,0.00

svm_aac_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.88,0.00
-2.90,1.00,0.00,0.50,0.00,0.88,0.00
-2.80,1.00,0.00,0.50,0.00,0.88,0.00
-2.70,1.00,0.00,0.50,0.00,0.88,0.00
-2.60,1.00,0.00,0.50,0.00,0.88,0.00
-2.50,1.00,0.00,0.50,0.00,0.88,0.00
-2.40,1.00,0.00,0.50,0.00,0.88,0.00
-2.30,1.00,0.00,0.50,0.00,0.88,0.00
-2.20,1.00,0.00,0.50,0.00,0.88,0.00
-2.10,1.00,0.00,0.50,0.00,0.88,0.00
-2.00,1.00,0.00,0.50,0.00,0.88,0.00
-1.90,1.00,0.01,0.50,0.05,0.88,0.01
-1.80,1.00,0.01,0.50,0.05,0.88,0.01
-1.70,1.00,0.03,0.51,0.11,0.88,0.03
-1.60,1.00,0.04,0.52,0.14,0.88,0.04
-1.50,1.00,0.08,0.54,0.20,0.88,0.08
-1.40,0.99,0.11,0.55,0.22,0.88,0.10
-1.30,0.99,0.12,0.55,0.22,0.88,0.11
-1.20,0.99,0.16,0.58,0.27,0.88,0.15
-1.10,0.97,0.24,0.60,0.30,0.88,0.21
-1.00,0.96,0.31,0.64,0.37,0.88,0.28
-0.90,0.94,0.40,0.67,0.40,0.88,0.33
-0.80,0.93,0.48,0.71,0.46,0.88,0.41
-0.70,0.90,0.56,0.73,0.49,0.88,0.46
-0.60,0.89,0.61,0.75,0.52,0.88,0.50
-0.50,0.84,0.66,0.75,0.52,0.88,0.51
-0.40,0.81,0.71,0.76,0.52,0.88,0.51
-0.30,0.80,0.77,0.79,0.58,0.88,0.58
-0.20,0.78,0.82,0.80,0.60,0.88,0.60
-0.10,0.76,0.86,0.81,0.62,0.88,0.62
0.00,0.74,0.87,0.81,0.62,0.88,0.61
0.10,0.74,0.90,0.82,0.64,0.88,0.63
0.20,0.68,0.92,0.80,0.61,0.88,0.60
0.30,0.67,0.93,0.80,0.62,0.88,0.60
0.40,0.62,0.95,0.79,0.60,0.88,0.57
0.50,0.61,0.95,0.78,0.60,0.88,0.56
0.60,0.60,0.96,0.78,0.61,0.88,0.57
0.70,0.57,0.98,0.78,0.61,0.88,0.56
0.80,0.56,0.99,0.78,0.62,0.88,0.56
0.90,0.55,0.99,0.78,0.61,0.88,0.55
1.00,0.45,0.99,0.72,0.53,0.88,0.45
1.10,0.32,1.00,0.66,0.44,0.88,0.32
1.20,0.26,1.00,0.63,0.39,0.88,0.26
1.30,0.19,1.00,0.59,0.32,0.88,0.19
1.40,0.12,1.00,0.56,0.25,0.88,0.12
1.50,0.05,1.00,0.52,0.15,0.88,0.05
1.60,0.03,1.00,0.52,0.13,0.88,0.03
1.70,0.01,1.00,0.50,0.05,0.88,0.01
1.80,0.01,1.00,0.50,0.05,0.88,0.01
1.90,0.00,1.00,0.50,0.00,0.88,0.00
2.00,0.00,1.00,0.50,0.00,0.88,0.00
2.10,0.00,1.00,0.50,0.00,0.88,0.00
2.20,0.00,1.00,0.50,0.00,0.88,0.00
2.30,0.00,1.00,0.50,0.00,0.88,0.00
2.40,0.00,1.00,0.50,0.00,0.88,0.00
2.50,0.00,1.00,0.50,0.00,0.88,0.00
2.60,0.00,1.00,0.50,0.00,0.88,0.00
2.70,0.00,1.00,0.50,0.00,0.88,0.00
2.80,0.00,1.00,0.50,0.00,0.88,0.00
2.90,0.00,1.00,0.50,0.00,0.88,0.00

svm_kfold_aac_c5.txt
