extra_trees_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.68,0.00
-2.90,1.00,0.00,0.48,0.00,0.68,0.00
-2.80,1.00,0.00,0.48,0.00,0.68,0.00
-2.70,1.00,0.00,0.48,0.00,0.68,0.00
-2.60,1.00,0.00,0.48,0.00,0.68,0.00
-2.50,1.00,0.00,0.48,0.00,0.68,0.00
-2.40,1.00,0.00,0.48,0.00,0.68,0.00
-2.30,1.00,0.00,0.48,0.00,0.68,0.00
-2.20,1.00,0.00,0.48,0.00,0.68,0.00
-2.10,1.00,0.00,0.48,0.00,0.68,0.00
-2.00,1.00,0.00,0.48,0.00,0.68,0.00
-1.90,1.00,0.00,0.48,0.00,0.68,0.00
-1.80,1.00,0.00,0.48,0.00,0.68,0.00
-1.70,1.00,0.00,0.48,0.00,0.68,0.00
-1.60,1.00,0.00,0.48,0.00,0.68,0.00
-1.50,1.00,0.00,0.48,0.00,0.68,0.00
-1.40,1.00,0.00,0.48,0.00,0.68,0.00
-1.30,1.00,0.00,0.48,0.00,0.68,0.00
-1.20,1.00,0.00,0.48,0.00,0.68,0.00
-1.10,0.97,0.05,0.49,0.06,0.68,0.02
-1.00,0.97,0.10,0.52,0.15,0.68,0.07
-0.90,0.95,0.17,0.55,0.19,0.68,0.12
-0.80,0.86,0.28,0.56,0.17,0.68,0.14
-0.70,0.84,0.40,0.61,0.26,0.68,0.23
-0.60,0.78,0.42,0.60,0.22,0.68,0.21
-0.50,0.73,0.47,0.60,0.21,0.68,0.20
-0.40,0.70,0.55,0.62,0.26,0.68,0.25
-0.30,0.54,0.60,0.57,0.14,0.68,0.14
-0.20,0.54,0.65,0.60,0.19,0.68,0.19
-0.10,0.49,0.68,0.58,0.16,0.68,0.16
0.00,0.49,0.70,0.60,0.19,0.68,0.19
0.10,0.49,0.75,0.62,0.25,0.68,0.24
0.20,0.43,0.80,0.62,0.25,0.68,0.24
0.30,0.43,0.93,0.69,0.41,0.68,0.36
0.40,0.30,0.93,0.62,0.29,0.68,0.23
0.50,0.27,0.93,0.61,0.26,0.68,0.20
0.60,0.24,0.95,0.61,0.28,0.68,0.20
0.70,0.22,0.97,0.61,0.30,0.68,0.20
0.80,0.16,0.97,0.58,0.24,0.68,0.14
0.90,0.16,1.00,0.60,0.30,0.68,0.17
1.00,0.08,1.00,0.56,0.21,0.68,0.08
1.10,0.03,1.00,0.53,0.12,0.68,0.03
1.20,0.00,1.00,0.52,0.00,0.68,0.00
1.30,0.00,1.00,0.52,0.00,0.68,0.00
1.40,0.00,1.00,0.52,0.00,0.68,0.00
1.50,0.00,1.00,0.52,0.00,0.68,0.00
1.60,0.00,1.00,0.52,0.00,0.68,0.00
1.70,0.00,1.00,0.52,0.00,0.68,0.00
1.80,0.00,1.00,0.52,0.00,0.68,0.00
1.90,0.00,1.00,0.52,0.00,0.68,0.00
2.00,0.00,1.00,0.52,0.00,0.68,0.00
2.10,0.00,1.00,0.52,0.00,0.68,0.00
2.20,0.00,1.00,0.52,0.00,0.68,0.00
2.30,0.00,1.00,0.52,0.00,0.68,0.00
2.40,0.00,1.00,0.52,0.00,0.68,0.00
2.50,0.00,1.00,0.52,0.00,0.68,0.00
2.60,0.00,1.00,0.52,0.00,0.68,0.00
2.70,0.00,1.00,0.52,0.00,0.68,0.00
2.80,0.00,1.00,0.52,0.00,0.68,0.00
2.90,0.00,1.00,0.52,0.00,0.68,0.00

svm_dpc_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.50,0.00
-2.90,1.00,0.00,0.50,0.00,0.50,0.00
-2.80,1.00,0.00,0.50,0.00,0.50,0.00
-2.70,1.00,0.00,0.50,0.00,0.50,0.00
-2.60,1.00,0.00,0.50,0.00,0.50,0.00
-2.50,1.00,0.00,0.50,0.00,0.50,0.00
-2.40,1.00,0.00,0.50,0.00,0.50,0.00
-2.30,1.00,0.00,0.50,0.00,0.50,0.00
-2.20,1.00,0.00,0.50,0.00,0.50,0.00
-2.10,1.00,0.00,0.50,0.00,0.50,0.00
-2.00,1.00,0.00,0.50,0.00,0.50,0.00
-1.90,1.00,0.00,0.50,0.00,0.50,0.00
-1.80,1.00,0.00,0.50,0.00,0.50,0.00
-1.70,1.00,0.00,0.50,0.00,0.50,0.00
-1.60,1.00,0.00,0.50,0.00,0.50,0.00
-1.50,1.00,0.00,0.50,0.00,0.50,0.00
-1.40,1.00,0.00,0.50,0.00,0.50,0.00
-1.30,1.00,0.00,0.50,0.00,0.50,0.00
-1.20,1.00,0.00,0.50,0.00,0.50,0.00
-1.10,1.00,0.00,0.50,0.00,0.50,0.00
-1.00,0.00,1.00,0.50,0.00,0.50,0.00
